Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
Sun O))),Sun O))),,1,1,10,0.165705,0.171923,0,0.000459,0.000459,8,0.000019,0,0,0,0.013845
The Rejects,The Rejects,,1,1,10,0.165705,0.171923,0,0.000459,0.000459,8,0.000019,0,0,0,0.013845
Scar the Martyr,Scar the Martyr,,4,4,10,0.168893,0.175755,3746.44335,0.000724,0.000724,8,0.000052,0,0.166667,1,0.029025
Murderdolls,Murderdolls,,2,2,10,0.166304,0.172918,0,0.000589,0.000588,8,0.00003,0,1,1,0.020916
VIMIC,VIMIC,,1,1,10,0.165705,0.171923,0,0.000459,0.000459,8,0.000019,0,0,0,0.013845
Mayhem (band),Mayhem (band),,2,2,9,0.169046,0.175736,43016.907791,0.000499,0.000499,8,0.000031,0,0,0,0.023492
Satyricon (band),Satyricon (band),,1,1,10,0.165705,0.171923,0,0.000459,0.000459,8,0.000019,0,0,0,0.013845
Seth,Seth,,1,1,10,0.165705,0.171923,0,0.000459,0.000459,8,0.000019,0,0,0,0.013845
Cliff Burton,Cliff Burton,,3,6,9,0.185709,0.193704,0,0.00218,0.00218,8,0.000035,0,1,3,0.0591
Steve Souza,Steve Souza,,5,9,10,0.168139,0.175635,1803.403967,0.001294,0.001294,8,0.000055,0,0.4,4,0.055428
White Zombie (band),White Zombie (band),,8,8,9,0.184627,0.19319,13081.658266,0.002495,0.002495,8,0.000088,0,0.392857,11,0.0806
Generation Kill (band),Generation Kill (band),,1,1,10,0.165469,0.171459,0,0.000412,0.000412,8,0.000017,0,0,0,0.014124
Heathen (band),Heathen (band),,4,4,10,0.168474,0.175189,4928.157668,0.000756,0.000756,8,0.000046,0,0.166667,1,0.02836
Hatriot (band),Hatriot (band),,2,2,10,0.165575,0.171654,0,0.000502,0.000502,8,0.000026,0,1,1,0.018517
Possessed (band),Possessed (band),,5,5,9,0.1772,0.185681,47758.884451,0.001245,0.001245,8,0.000055,0,0.2,2,0.059224
Bruce Springsteen,Bruce Springsteen,,44,88,7,0.217277,0.229596,2187781.505671,0.017493,0.017493,20,0.000448,0,0.034884,33,0.338293
James Montgomery (singer),James Montgomery (singer),,8,11,8,0.199591,0.207687,161706.093311,0.0034,0.0034,17,0.000093,0,0,0,0.07947
Soozie Tyrell,Soozie Tyrell,,5,7,8,0.180136,0.186719,12918.636031,0.001631,0.001631,20,0.000056,0,0.1,1,0.03978
Tim Scott McConnell,Tim Scott McConnell,,1,2,8,0.178496,0.184686,0,0.001223,0.001223,20,0.000016,0,0,0,0.024644
Richie Rosenberg,Richie Rosenberg,,5,8,8,0.182475,0.189257,23641.369588,0.001803,0.001803,20,0.000054,0,0.3,3,0.041173
Dropkick Murphys,Dropkick Murphys,,16,33,8,0.179844,0.186787,696781.440162,0.001335,0.001335,23,0.000281,0,0.041667,5,0.04926
Gary U.S. Bonds,Gary U.S. Bonds,,3,6,8,0.180568,0.187029,17005.222179,0.001427,0.001427,20,0.000037,0,0.333333,1,0.032074
Southside Johnny,Southside Johnny,,8,16,8,0.184655,0.191826,12064.411722,0.002599,0.002599,20,0.00008,0,0.392857,11,0.064679
Garry Tallent,Garry Tallent,,3,6,8,0.179422,0.185772,0,0.001687,0.001687,20,0.000034,0,1,3,0.039385
The Miami Horns,The Miami Horns,,9,18,8,0.182275,0.189132,6141.075109,0.002548,0.002548,20,0.000089,0,0.388889,14,0.065819
Southside Johnny and the Asbury Jukes,Southside Johnny and the Asbury Jukes,,7,12,8,0.191589,0.199308,51219.115714,0.002487,0.002487,20,0.000072,0,0.238095,5,0.06254
Steel Mill,Steel Mill,,6,14,8,0.1818,0.188461,887.769085,0.002056,0.002056,20,0.000064,0,0.466667,7,0.049829
Ed Manion,Ed Manion,,7,12,8,0.184164,0.191311,18029.339419,0.002538,0.002538,20,0.00007,0,0.380952,8,0.060155
The Del Fuegos,The Del Fuegos,,4,8,8,0.18612,0.193712,101549.511347,0.002392,0.002392,20,0.000061,0,0,0,0.048891
Greg Leisz,Greg Leisz,,14,21,7,0.209574,0.220717,407355.617669,0.013004,0.013004,18,0.000142,0,0.010989,1,0.214144
Graham Maby,Graham Maby,,5,6,8,0.183696,0.190495,36187.311745,0.001543,0.001542,20,0.000062,0,0,0,0.034717
The Gaslight Anthem,The Gaslight Anthem,,10,20,8,0.180721,0.187602,366257.521506,0.001322,0.001322,12,0.000164,0,0.066667,3,0.040692
Prophets of Rage,Prophets of Rage,,12,30,8,0.205314,0.214638,402046.791591,0.00455,0.00455,0,0.000119,0,0.19697,13,0.143858
Ernest Carter (drummer),Ernest Carter (drummer),,6,9,8,0.179622,0.186098,42512.810389,0.001671,0.001671,20,0.000078,0,0.2,3,0.041728
David Sancious,David Sancious,,4,8,8,0.181782,0.188363,20328.58574,0.001672,0.001672,20,0.000048,0,0.5,3,0.041432
Mike McKnight,Mike McKnight,,7,8,8,0.19994,0.209703,161925.519427,0.006392,0.006392,20,0.000074,0,0,0,0.106118
Patti Scialfa,Patti Scialfa,,3,6,8,0.181913,0.188595,1969.65937,0.001726,0.001726,20,0.000036,0,0.666667,2,0.039766
Vinnie Roslin,Vinnie Roslin,,2,4,8,0.178498,0.184712,0,0.001367,0.001367,20,0.000025,0,1,1,0.028915
Jake Clemons,Jake Clemons,,4,6,8,0.179514,0.185906,32922.253,0.001523,0.001523,20,0.000056,0,0.166667,1,0.036106
Max Weinberg,Max Weinberg,,10,14,8,0.190398,0.198366,138174.751028,0.002543,0.002543,13,0.000136,0,0.044444,2,0.065759
Vini Lopez,Vini Lopez,,4,8,8,0.179884,0.186319,1358.140633,0.001715,0.001715,20,0.000044,0,0.666667,4,0.040735
JT Bowen,JT Bowen,,5,6,8,0.179994,0.186465,44216.063784,0.001542,0.001542,20,0.000071,0,0,0,0.034385
Delores Holmes,Delores Holmes,,1,2,8,0.178496,0.184686,0,0.001223,0.001223,20,0.000016,0,0,0,0.024644
E Street Band,E Street Band,,21,44,8,0.191998,0.200079,211395.683147,0.004044,0.004044,20,0.000223,0,0.114286,24,0.110243
Shane Fontayne,Shane Fontayne,,13,16,8,0.195116,0.203283,189656.793063,0.003699,0.003699,1,0.000167,0,0,0,0.071702
Charles Giordano,Charles Giordano,,4,5,8,0.18058,0.18702,12173.799238,0.001409,0.001409,20,0.000046,0,0,0,0.030455
Robbin Thompson,Robbin Thompson,,3,6,8,0.185381,0.192336,8077.947366,0.002012,0.002012,20,0.000034,0,0.333333,1,0.041421
Neil Dorfsman,Neil Dorfsman,,6,10,8,0.200925,0.209867,66966.581513,0.006069,0.006069,2,0.000062,0,0.2,3,0.106003
Scream (band),Scream (band),,15,28,9,0.186374,0.195111,192366.78551,0.002119,0.002119,11,0.000178,0,0.133333,14,0.104418
Van Tard,Van Tard,,8,9,9,0.166313,0.172826,135891,0.000278,0.000278,11,0.000173,0,0,0,0.025802
The Vaselines,The Vaselines,,12,31,9,0.171678,0.178747,416477.769996,0.000337,0.000337,14,0.000173,0,0.181818,12,0.045994
The Fluid,The Fluid,,1,2,9,0.166293,0.172586,0,0.000269,0.000269,11,0.000018,0,0,0,0.019178
Sweet 75,Sweet 75,,7,15,9,0.180864,0.190055,127694.146698,0.001761,0.001761,11,0.000082,0,0.238095,5,0.0801
The Kids of Widney High,The Kids of Widney High,,6,8,8,0.195431,0.203566,346084.451306,0.001948,0.001948,1,0.000071,0,0,0,0.060758
The No WTO Combo,The No WTO Combo,,7,15,9,0.178992,0.187411,64629.947795,0.001092,0.001092,11,0.000078,0,0.238095,5,0.065604
Pat Smear,Pat Smear,,9,15,9,0.184736,0.193084,111971.760424,0.001165,0.001165,11,0.000109,0,0.166667,6,0.071227
Half Japanese,Half Japanese,,11,19,9,0.183269,0.190655,252251.687196,0.000652,0.000652,4,0.000139,0,0.072727,4,0.044768
The Tinklers,The Tinklers,,1,1,10,0.154885,0.159052,0,0.000046,0.000046,4,0.000018,0,0,0,0.004609
Mark Kramer,Mark Kramer,,2,2,9,0.158129,0.162827,9304.902048,0.000057,0.000057,23,0.000032,0,0,0,0.008533
Jad Fair,Jad Fair,,4,8,10,0.156381,0.160787,38831,0.000055,0.000055,4,0.000068,0,0.166667,1,0.008466
John Zorn,John Zorn,,5,5,8,0.187336,0.193875,49513.598786,0.00136,0.00136,4,0.00006,0,0.1,1,0.033073
Sonic Youth,Sonic Youth,,4,4,9,0.182422,0.189825,100773.587025,0.000668,0.000668,24,0.00005,0,0,0,0.033029
Maureen Tucker,Maureen Tucker,,4,7,9,0.173035,0.178401,8494.949348,0.000278,0.000278,4,0.000052,0,0.333333,2,0.01602
Earth (American band),Earth (American band),,10,23,9,0.177434,0.185668,453277.155676,0.000981,0.000981,11,0.000133,0,0.155556,7,0.066343
Melvins,Melvins,,39,85,9,0.188027,0.199718,1408671.417908,0.002065,0.002065,11,0.000476,0,0.039136,29,0.197681
Sunn O))),Sunn O))),,36,55,9,0.171853,0.179309,482363.479984,0.000573,0.000573,11,0.000523,0,0.026984,17,0.087472
Thrones (band),Thrones (band),,10,17,9,0.164423,0.171507,99333.308106,0.000284,0.000284,11,0.000132,0,0.2,9,0.044992
Lori Goldston,Lori Goldston,,3,6,9,0.168346,0.174881,166360.041607,0.000339,0.000339,11,0.000047,0,0.333333,1,0.027535
Karl Blau,Karl Blau,,8,9,10,0.150713,0.155589,135891,0.000071,0.000071,11,0.000177,0,0,0,0.012363
Joe Preston (bassist),Joe Preston (bassist),,8,11,9,0.157717,0.163286,25094.464365,0.000148,0.000148,11,0.000106,0,0.285714,8,0.02809
Mirah,Mirah,,10,12,10,0.144992,0.149266,160261.863492,0.000025,0.000025,11,0.000217,0,0,0,0.011303
Child's Play (band),Child's Play (band),,5,10,9,0.167169,0.173669,47711.163301,0.000298,0.000298,11,0.000073,0,0.2,2,0.024815
SR-71 (band),SR-71 (band),,2,3,10,0.143228,0.147112,0,0.000022,0.000022,11,0.000035,0,1,1,0.003778
Dirty Looks (band),Dirty Looks (band),,2,2,10,0.158966,0.163884,7044.864412,0.000088,0.000088,11,0.00003,0,0,0,0.006632
Aaron Burckhard,Aaron Burckhard,,2,3,9,0.166296,0.17262,19416,0.00027,0.00027,11,0.000038,0,0,0,0.020036
Attica (band),Attica (band),,1,1,10,0.142585,0.14637,0,0.000019,0.000019,11,0.000024,0,0,0,0.002112
Jason Everman,Jason Everman,,4,6,9,0.173445,0.180737,37281.179572,0.000665,0.000665,11,0.000056,0,0,0,0.036123
Mind Funk,Mind Funk,,2,2,10,0.154775,0.160321,848.350477,0.000147,0.000147,8,0.00003,0,0,0,0.007381
OLD (band),OLD (band),,1,1,10,0.14781,0.152061,0,0.000046,0.000046,11,0.00002,0,0,0,0.003277
Soundgarden,Soundgarden,,24,62,8,0.197514,0.207489,481009.960688,0.005472,0.005472,3,0.000246,0,0.101449,28,0.200452
Flipper (band),Flipper (band),,10,18,9,0.16806,0.17526,263283.174659,0.000474,0.000474,11,0.000135,0,0.133333,6,0.044165
Negative Trend,Negative Trend,,8,11,10,0.143895,0.148311,106774.5,0.000037,0.000037,11,0.00015,0,0.035714,1,0.011575
Frightwig,Frightwig,,1,1,10,0.143881,0.14808,0,0.000033,0.000033,11,0.000019,0,0,0,0.004452
Scratch Acid,Scratch Acid,,3,3,10,0.153637,0.159281,6100.548306,0.000156,0.000156,11,0.000043,0,0.333333,1,0.012065
The Jesus Lizard,The Jesus Lizard,,6,7,10,0.159583,0.166549,86307.998417,0.000274,0.000274,11,0.000079,0,0.133333,2,0.02655
The Sleepers (San Francisco band),The Sleepers (San Francisco band),,3,3,10,0.14389,0.148191,4,0.000038,0.000038,11,0.00005,0,0.666667,2,0.008171
Krist Novoselic,Krist Novoselic,,10,16,9,0.18356,0.192485,170178.829192,0.0012,0.0012,11,0.000127,0,0.133333,6,0.083139
Ricky Williams (musician),Ricky Williams (musician),,4,5,10,0.143886,0.148174,29120.5,0.000036,0.000036,11,0.000068,0,0.166667,1,0.007908
Fecal Matter (band),Fecal Matter (band),,5,12,9,0.170141,0.177659,23429.881002,0.000485,0.000485,11,0.000063,0,0.4,4,0.046521
Mike Dillard,Mike Dillard,,2,3,10,0.145557,0.150079,842.956958,0.000036,0.000036,11,0.000031,0,0,0,0.005698
Dain Bramage,Dain Bramage,,6,12,9,0.19215,0.201638,40181.936395,0.003485,0.003485,3,0.000062,0,0.666667,10,0.127112
Dave Grohl,Dave Grohl,,19,35,8,0.210715,0.222433,928716.239787,0.006297,0.006297,3,0.000195,0,0.05848,10,0.215289
Foo Fighters,Foo Fighters,,43,90,8,0.213343,0.226068,2802013.64882,0.007596,0.007596,11,0.000472,0,0.046512,42,0.320763
Kultur Shock,Kultur Shock,,21,23,9,0.173456,0.181209,491412.879326,0.000507,0.000507,11,0.000383,0,0,0,0.05135
Pollens (band),Pollens (band),,10,11,10,0.148441,0.153284,158054.793364,0.000038,0.000038,11,0.000221,0,0,0,0.01487
Robert Soko,Robert Soko,,1,1,10,0.147817,0.15222,0,0.000035,0.000035,11,0.000023,0,0,0,0.005919
Yuri Yunakov,Yuri Yunakov,,1,1,10,0.147817,0.15222,0,0.000035,0.000035,11,0.000023,0,0,0,0.005919
Saban Bajramovic,Saban Bajramovic,,1,1,10,0.147817,0.15222,0,0.000035,0.000035,11,0.000023,0,0,0,0.005919
Slavic Soul Party!,Slavic Soul Party!,,1,1,10,0.147817,0.15222,0,0.000035,0.000035,11,0.000023,0,0,0,0.005919
La Plebe,La Plebe,,1,1,10,0.147817,0.15222,0,0.000035,0.000035,11,0.000023,0,0,0,0.005919
Meat Puppets,Meat Puppets,,10,24,9,0.172599,0.179544,244685.794943,0.000466,0.000466,11,0.000135,0,0.133333,6,0.043711
Shandon Sahm,Shandon Sahm,,4,8,9,0.167871,0.173871,41665.750712,0.000323,0.000323,2,0.000048,0,0.166667,1,0.017885
Pete Anderson,Pete Anderson,,9,12,9,0.174101,0.180463,125823.28691,0.000414,0.000414,11,0.00012,0,0.027778,1,0.024647
The Shaky Hands,The Shaky Hands,,7,9,10,0.147208,0.151417,116481,0.000034,0.000034,11,0.000154,0,0,0,0.009752
Volcano (supergroup),Volcano (supergroup),,7,24,9,0.170784,0.177122,22131.504687,0.000498,0.000498,11,0.00008,0,0.619048,13,0.038188
Ted Marcus,Ted Marcus,,1,2,10,0.147194,0.151211,0,0.000033,0.000033,11,0.000019,0,0,0,0.00445
Curt Kirkwood,Curt Kirkwood,,5,10,9,0.171795,0.178448,16386.185117,0.000436,0.000436,11,0.000059,0,0.6,6,0.036944
Eyes Adrift,Eyes Adrift,,11,32,9,0.180845,0.188974,137126.157716,0.001014,0.001014,11,0.00012,0,0.363636,20,0.073309
Melora Creager,Melora Creager,,4,6,9,0.183699,0.191967,81793.97881,0.001512,0.001512,3,0.000057,0,0.166667,1,0.051083
Ultra Vivid Scene,Ultra Vivid Scene,,1,1,10,0.155192,0.159904,0,0.000106,0.000106,3,0.00002,0,0,0,0.004065
Rasputina (band),Rasputina (band),,2,2,9,0.17772,0.184789,0,0.001253,0.001253,3,0.000029,0,1,1,0.032333
Long Beach Dub Allstars,Long Beach Dub Allstars,,14,29,9,0.18385,0.192006,156190.137175,0.001549,0.001549,11,0.000171,0,0.164835,15,0.063174
Sublime (band),Sublime (band),,19,37,9,0.187444,0.196156,272654.148828,0.00147,0.00147,11,0.000238,0,0.105263,18,0.078731
Sublime with Rome,Sublime with Rome,,18,32,8,0.186846,0.194368,218370.344605,0.001331,0.001331,11,0.000226,0,0.098039,15,0.065693
Icky Boyfriends,Icky Boyfriends,,3,5,9,0.166813,0.173416,19416,0.000322,0.000322,3,0.000046,0,0.333333,1,0.026174
Mudhoney,Mudhoney,,12,28,9,0.173201,0.181759,234185.081927,0.000735,0.000735,3,0.000149,0,0.060606,4,0.066003
Germs (band),Germs (band),,17,34,9,0.187461,0.196762,344147.486017,0.001318,0.001318,11,0.000196,0,0.102941,14,0.097304
X (American band),X (American band),,14,20,9,0.174248,0.18098,107278.559073,0.000376,0.000376,21,0.000159,0,0.098901,9,0.038727
Nickey Alexander,Nickey Alexander,,3,6,9,0.175957,0.183705,58956.917279,0.000771,0.000771,12,0.000037,0,0.333333,1,0.038051
Nervous Gender,Nervous Gender,,3,3,10,0.158625,0.164022,0,0.000134,0.000134,11,0.000042,0,1,3,0.015829
The Weirdos,The Weirdos,,15,22,9,0.192213,0.201082,227897.212175,0.001568,0.001568,12,0.000176,0,0.028571,3,0.080707
The Go-Go's,The Go-Go's,,2,2,9,0.161141,0.16638,0,0.000123,0.000123,11,0.000029,0,1,1,0.011302
Anywhere (band),Anywhere (band),,15,22,9,0.18125,0.190873,377568.091769,0.001255,0.001255,12,0.0002,0,0.066667,7,0.099642
Cedric Bixler-Zavala,Cedric Bixler-Zavala,,11,14,9,0.170509,0.177479,47824.225158,0.000885,0.000885,12,0.00013,0,0.163636,9,0.058272
Triclops!,Triclops!,,8,9,10,0.153458,0.15903,135891,0.000091,0.000091,12,0.000177,0,0,0,0.014911
Dot Hacker,Dot Hacker,,16,30,8,0.190372,0.199176,109774.306399,0.002476,0.002476,12,0.000177,0,0.141667,17,0.118514
Sleepy Sun,Sleepy Sun,,1,1,10,0.153441,0.15879,0,0.000088,0.000088,12,0.000019,0,0,0,0.008537
Comets on Fire,Comets on Fire,,1,1,10,0.153441,0.15879,0,0.000088,0.000088,12,0.000019,0,0,0,0.008537
Big Business (band),Big Business (band),,6,7,10,0.162532,0.169622,6658.192593,0.000288,0.000288,11,0.000082,0,0.4,6,0.039125
Firehose (band),Firehose (band),,2,2,10,0.163362,0.169452,0,0.000194,0.000194,12,0.000031,0,1,1,0.017751
Minutemen (band),Minutemen (band),,3,4,9,0.166936,0.173895,13830.846253,0.00026,0.00026,23,0.000043,0,0.333333,1,0.027535
Triclops (band),Triclops (band),,1,1,10,0.153441,0.15879,0,0.000088,0.000088,12,0.000019,0,0,0,0.008537
The Mars Volta,The Mars Volta,,44,75,8,0.202509,0.213836,895195.940565,0.005261,0.005261,12,0.000506,0,0.035941,34,0.241839
Drunk Horse,Drunk Horse,,1,1,10,0.153441,0.15879,0,0.000088,0.000088,12,0.000019,0,0,0,0.008537
At the Drive-In,At the Drive-In,,5,6,9,0.172092,0.179142,8364.030395,0.000716,0.000716,12,0.000061,0,0.4,4,0.044889
The Stinkypuffs,The Stinkypuffs,,1,1,10,0.155093,0.160083,0,0.000084,0.000084,11,0.000019,0,0,0,0.00689
No WTO Combo,No WTO Combo,,3,3,10,0.157401,0.162765,4513.331819,0.000122,0.000122,11,0.000045,0,0,0,0.010709
Sky Cries Mary,Sky Cries Mary,,2,2,10,0.161001,0.166364,12409.081995,0.000116,0.000116,24,0.000035,0,0,0,0.01104
Big John Duncan,Big John Duncan,,3,4,9,0.166341,0.172744,46542.008945,0.000272,0.000272,11,0.000052,0,0,0,0.021195
Goodbye Mr. Mackenzie,Goodbye Mr. Mackenzie,,1,1,10,0.142619,0.146439,0,0.000019,0.000019,11,0.000023,0,0,0,0.002284
The Exploited,The Exploited,,2,2,10,0.144254,0.148434,10853.979949,0.000021,0.000021,21,0.000037,0,0,0,0.004521
Butch Vig,Butch Vig,,8,11,9,0.188013,0.196803,274088.081713,0.001318,0.001318,11,0.000103,0,0.035714,1,0.072854
Garbage (band),Garbage (band),,7,7,8,0.188151,0.195487,37787.626994,0.001715,0.001715,12,0.000078,0,0.047619,1,0.046936
Fire Town,Fire Town,,1,1,10,0.158259,0.163145,0,0.000092,0.000092,11,0.000019,0,0,0,0.006032
Spooner (band),Spooner (band),,1,1,10,0.158259,0.163145,0,0.000092,0.000092,11,0.000019,0,0,0,0.006032
Killdozer (band),Killdozer (band),,1,1,10,0.158259,0.163145,0,0.000092,0.000092,11,0.000019,0,0,0,0.006032
The Smashing Pumpkins,The Smashing Pumpkins,,12,13,9,0.193302,0.202611,281165.77798,0.002591,0.002591,3,0.000138,0,0.045455,3,0.088164
Rich Costey,Rich Costey,,15,19,8,0.196508,0.205952,278433.086328,0.002814,0.002814,12,0.000182,0,0,0,0.105372
Josh Homme,Josh Homme,,23,47,8,0.210569,0.223071,812064.197388,0.012222,0.012222,3,0.000227,0,0.118577,30,0.349842
Taylor Hawkins,Taylor Hawkins,,10,15,8,0.198234,0.206564,142393.893608,0.00294,0.00294,12,0.000114,0,0.066667,3,0.088192
Scott Shiflett,Scott Shiflett,,9,14,9,0.179122,0.186422,28477.255283,0.000927,0.000926,23,0.000105,0,0.416667,15,0.062932
Tom Rothrock,Tom Rothrock,,16,21,8,0.206417,0.216817,879209.87424,0.003072,0.003072,24,0.000189,0,0.016667,2,0.116756
Liam Lynch (musician),Liam Lynch (musician),,6,9,9,0.189871,0.198472,32352.278974,0.003157,0.003157,3,0.000062,0,0.266667,4,0.102547
Skeeter Thompson,Skeeter Thompson,,2,4,9,0.176172,0.182759,0,0.000679,0.000679,11,0.000027,0,1,1,0.03267
Fred Schneider,Fred Schneider,,11,13,9,0.185169,0.192941,176114.532019,0.000819,0.000819,15,0.000147,0,0,0,0.044593
Me First and the Gimme Gimmes,Me First and the Gimme Gimmes,,20,30,9,0.180444,0.18838,246356.615072,0.001035,0.001035,23,0.000277,0,0.089474,17,0.081239
Rick Nielsen,Rick Nielsen,,4,5,9,0.180154,0.18693,43360.555416,0.000663,0.000663,11,0.000062,0,0,0,0.031047
Ryan Hadlock,Ryan Hadlock,,9,10,9,0.179696,0.186469,110140.145771,0.000634,0.000634,11,0.000145,0,0,0,0.0348
The Birds of Satan,The Birds of Satan,,7,14,9,0.188777,0.196638,52562.173232,0.001941,0.001941,12,0.000085,0,0.238095,5,0.069553
The Fire Theft,The Fire Theft,,5,11,9,0.175872,0.182452,9612.964869,0.000682,0.000682,11,0.000064,0,0.6,6,0.036212
The Jealous Sound,The Jealous Sound,,7,11,9,0.176359,0.183102,53268.207927,0.00067,0.00067,11,0.000098,0,0.142857,3,0.037371
Jackson United,Jackson United,,11,18,9,0.180921,0.188482,87717.229385,0.000942,0.000942,23,0.000135,0,0.236364,13,0.06535
William Goldsmith,William Goldsmith,,3,6,9,0.175867,0.182392,0,0.000631,0.000631,11,0.00004,0,1,3,0.031925
Sunny Day Real Estate,Sunny Day Real Estate,,10,19,9,0.175998,0.182807,75827.698171,0.000744,0.000744,11,0.000136,0,0.177778,8,0.043666
Petra Haden,Petra Haden,,5,6,9,0.176409,0.183171,51946.725232,0.000555,0.000555,11,0.000075,0,0,0,0.03004
No Use for a Name,No Use for a Name,,13,20,9,0.177405,0.184569,117607.657187,0.000859,0.000859,23,0.000175,0,0.141026,11,0.061798
Nate Mendel,Nate Mendel,,5,9,9,0.175895,0.182513,19419.983333,0.000681,0.000681,11,0.000068,0,0.5,5,0.036517
Subwave,Subwave,,5,6,9,0.181805,0.188674,32796.658252,0.000652,0.000652,11,0.000064,0,0,0,0.031933
Taylor Hawkins and the Coattail Riders,Taylor Hawkins and the Coattail Riders,,8,17,9,0.189942,0.197784,74794.621727,0.002494,0.002493,12,0.000088,0,0.25,7,0.080226
Franz Stahl,Franz Stahl,,3,5,9,0.176174,0.182785,3042.117,0.000716,0.000716,11,0.000037,0,0.666667,2,0.035303
Mark Pickerel,Mark Pickerel,,4,7,9,0.171912,0.179471,13181.170353,0.000787,0.000787,3,0.000048,0,0.5,3,0.039829
The Dark Fantastic,The Dark Fantastic,,3,4,10,0.161197,0.167294,0,0.000535,0.000535,3,0.000037,0,1,3,0.021904
Screaming Trees,Screaming Trees,,24,46,9,0.190057,0.200426,290589.311433,0.005945,0.005945,3,0.000257,0,0.07971,22,0.203712
Truly,Truly,,6,14,9,0.171073,0.177794,22671.920279,0.000926,0.000926,3,0.000073,0,0.266667,4,0.038277
Chad Channing,Chad Channing,,2,4,9,0.166442,0.172798,0,0.00029,0.00029,11,0.00003,0,1,1,0.021879
Dan Peters,Dan Peters,,6,11,9,0.176195,0.184237,65582.593506,0.000974,0.000974,3,0.000069,0,0.066667,1,0.047254
Mudhoney (band),Mudhoney (band),,3,3,10,0.150705,0.155623,1997.504853,0.000111,0.000111,3,0.00004,0,0.333333,1,0.009447
Love Battery,Love Battery,,9,17,10,0.158685,0.16436,27182.434363,0.00048,0.00048,3,0.000103,0,0.111111,4,0.034101
Fastbacks,Fastbacks,,7,12,9,0.192675,0.201133,83903.117456,0.003423,0.003423,3,0.000081,0,0.142857,3,0.08785
Ghost (Swedish band),Ghost (Swedish band),,1,4,9,0.174044,0.180157,0,0.00044,0.00044,3,0.000016,0,0,0,0.015097
RDGLDGRN,RDGLDGRN,,3,5,8,0.188323,0.195819,47749.104726,0.001449,0.001449,5,0.00004,0,0,0,0.037841
Tony Iommi,Tony Iommi,,9,14,8,0.197061,0.206127,128895.908636,0.0038,0.0038,10,0.00009,0,0.138889,5,0.117813
Lemmy,Lemmy,,3,3,8,0.196423,0.204131,44513.293273,0.002176,0.002176,13,0.000034,0,0,0,0.052777
Killing Joke,Killing Joke,,14,14,9,0.192284,0.202622,338454.398919,0.005544,0.005544,8,0.00015,0,0.21978,20,0.185003
Dale Crover,Dale Crover,,10,17,9,0.175696,0.18383,104281.406048,0.000658,0.000658,11,0.000126,0,0.177778,8,0.063902
Honky (album),Honky (album),,1,1,10,0.149441,0.154085,0,0.000046,0.000046,11,0.000018,0,0,0,0.005744
Hank Williams III,Hank Williams III,,11,17,9,0.167296,0.174256,157572.689625,0.000273,0.000273,11,0.000163,0,0.018182,1,0.036491
Men of Porn,Men of Porn,,2,2,10,0.149445,0.154132,2.5,0.000056,0.000056,11,0.000033,0,0,0,0.007961
Fantômas (band),Fantômas (band),,13,25,8,0.191864,0.200938,377434.728329,0.001963,0.001963,11,0.000146,0,0.153846,12,0.100672
Shrinebuilder,Shrinebuilder,,10,15,10,0.158598,0.165145,124324.988,0.000209,0.000209,11,0.000164,0,0.022222,1,0.032541
The Tripwires,The Tripwires,,5,7,9,0.166061,0.172545,37771.547964,0.00051,0.00051,3,0.00007,0,0,0,0.025696
Nebula (band),Nebula (band),,10,14,10,0.167569,0.174514,111290.334895,0.001115,0.001115,3,0.00014,0,0.044444,2,0.042799
Tomahawk (band),Tomahawk (band),,16,23,9,0.179402,0.188575,173905.214263,0.001174,0.001174,11,0.000185,0,0.108333,13,0.078859
The Obsessed,The Obsessed,,13,21,10,0.166424,0.174538,129885.412963,0.000777,0.000777,11,0.000162,0,0.089744,7,0.056408
Redd Kross,Redd Kross,,13,19,9,0.174709,0.183224,150035.855752,0.000583,0.000583,23,0.000162,0,0.051282,4,0.058547
The Murder City Devils,The Murder City Devils,,15,19,10,0.168983,0.176513,249546.139605,0.00027,0.00027,24,0.000252,0,0.038095,4,0.052245
Trevor Dunn,Trevor Dunn,,8,11,9,0.170494,0.177785,61679.554898,0.000449,0.000449,11,0.000108,0,0.214286,6,0.041068
Phil Anselmo,Phil Anselmo,,9,11,10,0.16826,0.175958,118116.109941,0.000419,0.000419,11,0.000128,0,0.083333,3,0.039375
Off!,Off!,,3,3,9,0.163919,0.171148,11188.674047,0.000251,0.000251,23,0.000041,0,0.666667,2,0.032669
The Cows,The Cows,,2,2,10,0.161347,0.168406,9872.497584,0.000247,0.000247,8,0.000031,0,0,0,0.022654
The Men of Porn,The Men of Porn,,1,1,10,0.15827,0.16446,0,0.000144,0.000144,11,0.000018,0,0,0,0.017177
Bluesology,Bluesology,,7,14,8,0.188744,0.197118,127245.327086,0.002236,0.002236,18,0.00009,0,0.047619,1,0.056103
Neil Hubbard,Neil Hubbard,,9,10,9,0.17665,0.18407,78265.210337,0.000858,0.000858,18,0.000116,0,0,0,0.032082
Elton Dean,Elton Dean,,7,9,9,0.166702,0.172901,86245.395114,0.000347,0.000347,18,0.000119,0,0,0,0.020817
